Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
-1.697749375254331,2143,228,7.233133229703923,160,37,238,167,1031,328,1537,24,69,14,
-1.628453482386807,1177,383,6.230981097457204,149,37,146,128,1011,263,1366,17,68,8,
-1.5591575895192835,1956,312,5.738397846013901,145,34,130,125,1013,244,1404,21,64,14,
-1.4898616966517597,2164,227,6.927391901221873,157,11,122,157,809,175,1628,19,58,23,
-1.420565803784236,603,356,6.978348789302215,154,34,93,96,834,216,1368,12,62,20,
-1.3512699109167123,973,254,5.789354734094243,143,47,62,82,953,210,1226,3,65,14,
-1.2819740180491885,2383,499,3.479309141118754,103,34,60,152,1102,105,1659,23,51,6,
-1.212678125181665,1052,329,4.940073266088548,137,47,58,84,1027,211,1179,10,66,10,
-1.1433822323141412,2045,267,4.651317566966612,133,17,54,152,999,200,1208,16,60,9,
-1.0740863394466176,1796,328,5.211843335850371,138,36,38,111,945,194,1129,5,65,6,
-1.0047904465790938,1470,447,5.313757112011054,130,59,35,153,1084,100,1566,3,61,3,
-0.9354945537115701,418,370,4.481461273365473,128,10,21,171,928,86,1559,17,50,18,
-0.8661986608440464,304,242,4.447490014645245,126,27,17,128,987,129,1384,12,56,9,
-0.7969027679765226,2322,369,4.974044524808776,134,37,12,124,949,82,1537,16,43,4,
-0.7276068751089989,1551,354,4.260648091683993,120,36,932,91,1010,124,1253,8,57,8,
-0.6583109822414752,46,325,4.243662462323879,122,4,926,136,895,1047,1702,9,51,12,
-0.5890150893739515,38,460,3.2415103300771593,95,34,923,142,1093,1023,15,17,49,27,
-0.5197191965064278,1313,177,5.041987042249231,135,48,912,112,912,114,1219,27,53,29,
-0.4504233036389041,1709,167,4.60036067888627,129,25,908,98,870,62,1428,4,57,10,
-0.3811274107713804,1863,487,3.122610924556362,92,27,898,184,1056,8,1592,19,39,6,
-0.3118315179038567,2182,226,3.564237287919323,108,12,892,161,948,39,1410,14,39,8,
-0.24253562503633297,1997,298,3.9209355044817147,111,36,890,106,1008,103,1109,4,54,26,
-0.17323973216880928,2471,384,4.532418161445815,121,36,888,106,905,1048,1568,7,48,11,
-0.10394383930128556,575,93,3.411366623678298,105,22,883,110,1002,147,852,10,52,6,
-0.03464794643376185,1468,242,3.9209355044817147,116,27,877,74,925,110,1003,4,54,6,
0.03464794643376185,1377,216,3.5132803998389814,104,14,875,138,951,47,1320,11,47,9,
0.10394383930128556,1302,475,3.2415103300771593,90,32,868,151,1049,10,1474,14,47,29,
0.17323973216880928,2389,368,3.6321798053597787,109,60,864,172,874,938,35,8,33,7,
0.24253562503633297,874,499,2.443185750151806,67,7,855,117,1057,1006,1582,18,34,24,
0.3118315179038567,863,327,3.581222917279437,107,9,852,140,900,1035,1479,15,32,15,
0.3811274107713804,2224,330,6.12906732129652,146,21,851,57,517,868,85,26,34,22,
0.4504233036389041,2127,296,4.124763056803082,118,15,849,78,810,55,1139,28,45,10,
0.5197191965064278,1400,429,3.5302660291990953,99,40,845,69,1029,12,1369,28,53,3,
0.5890150893739515,2147,190,4.8891163780082065,125,51,828,51,823,1051,1288,20,41,8,
0.6583109822414752,2246,370,4.243662462323879,115,36,826,94,865,1007,1451,29,40,8,
0.7276068751089989,21,139,3.937921133841829,113,42,824,72,894,1028,1348,22,45,11,
0.7969027679765226,1143,55,3.3264384768777284,95,37,816,47,1009,45,983,28,47,28,
0.8661986608440464,665,475,3.3264384768777284,94,27,813,103,956,948,1630,6,42,8,
0.9354945537115701,2469,383,3.869978616401373,113,17,808,96,781,1031,1260,27,44,15,
1.0047904465790938,2192,139,4.175719944883423,114,33,804,11,822,1016,1302,25,43,12,
1.0740863394466176,1611,311,3.1565821832765897,94,7,798,99,871,1037,1174,9,37,12,
1.1433822323141412,755,413,2.7149558199136283,79,3,791,90,931,981,1413,3,43,28,
1.212678125181665,2441,461,3.3604097355979565,99,10,789,139,845,1004,1289,8,32,10,
1.2819740180491885,1382,293,3.3094528475176146,80,55,787,23,1094,1014,1224,26,42,25,
1.3512699109167123,2349,487,2.8338552254344256,85,58,783,113,886,990,1343,4,43,11,
1.420565803784236,728,277,2.511128267592262,74,12,779,156,997,1020,1153,6,41,4,
1.4898616966517597,6,265,2.986725889675451,88,9,778,98,883,999,1237,22,51,6,
1.5591575895192835,951,54,2.5450995263124896,60,18,772,158,1040,904,1613,4,41,27,
1.628453482386807,1405,510,2.4092144914315785,65,12,763,177,1014,912,1561,9,30,8,
1.697749375254331,1525,432,3.07165403647602,93,8,762,89,823,980,1308,4,33,12,
-1.697749375254331,833,268,3.122610924556362,92,11,760,93,837,1036,1001,26,36,11,
-1.628453482386807,957,189,3.615194175999665,102,23,759,85,808,958,1402,3,32,7,
-1.5591575895192835,147,104,4.005863651282285,112,34,758,62,762,1003,1136,20,34,4,
-1.4898616966517597,2237,475,2.8678264841546537,79,21,748,78,929,916,1469,29,43,3,
-1.420565803784236,352,447,2.647013302473173,77,8,745,99,887,963,1296,3,33,8,
-1.3512699109167123,1835,152,3.1735678126367035,94,25,742,54,835,1041,875,25,40,28,
-1.2819740180491885,1428,281,2.1034731629495282,52,8,735,151,1024,927,1368,3,31,29,
-1.212678125181665,1232,520,1.8996456106281616,45,7,734,103,1050,907,1448,6,34,25,
-1.1433822323141412,1570,475,3.0376827777557924,85,29,732,96,901,923,1370,27,32,3,
-1.0740863394466176,300,416,3.7850504696008036,100,22,729,126,755,822,1697,25,27,14,
-1.0047904465790938,588,163,2.15443005102987,58,19,728,98,1030,969,1170,27,42,26,
-0.9354945537115701,529,164,2.443185750151806,66,9,722,54,915,1005,920,25,32,26,
-0.8661986608440464,1091,265,3.5302660291990953,97,46,720,52,876,898,1415,13,28,5,
-0.7969027679765226,1036,544,1.7977318344674782,37,15,713,76,1086,852,1562,9,28,24,
-0.7276068751089989,1974,176,2.7319414492737426,81,8,712,47,800,1009,859,29,26,8,
-0.6583109822414752,57,499,3.0037115190355648,73,43,708,85,1019,874,1480,20,36,8,
-0.5890150893739515,1936,382,2.443185750151806,62,28,706,51,1018,917,1279,25,33,28,
-0.5197191965064278,447,203,3.2245247007170454,87,39,703,35,883,910,1309,27,23,27,
-0.4504233036389041,2146,415,2.596056414392831,62,21,702,155,989,826,1618,29,28,5,
-0.3811274107713804,848,401,2.918783372234995,88,35,694,146,673,924,1190,25,29,8,
-0.3118315179038567,2093,460,3.207539071356931,79,30,691,41,882,798,1663,25,31,7,
-0.24253562503633297,1443,385,2.8848121135147675,80,20,690,76,824,905,1254,3,25,4,
-0.17323973216880928,2425,262,2.5620851556726034,64,26,686,32,936,894,1303,13,34,28,
-0.10394383930128556,2000,520,1.6278755408663395,34,56,684,94,1028,784,1669,10,21,25,
-0.03464794643376185,685,529,1.7977318344674782,38,14,682,154,1043,814,1586,5,30,21,
0.03464794643376185,1378,441,2.511128267592262,54,40,677,25,1053,816,1557,20,34,21,
0.10394383930128556,942,444,2.1034731629495282,54,7,674,90,930,880,1329,22,30,26,
0.17323973216880928,7,262,2.6979701905535145,68,31,670,46,922,919,1082,26,25,3,
0.24253562503633297,611,266,2.9017977428748813,71,46,668,97,995,865,1342,25,32,3,
0.3118315179038567,726,428,1.865674351907934,46,4,661,107,955,806,1517,4,29,4,
0.3811274107713804,63,265,2.5620851556726034,73,7,657,72,757,932,950,27,25,4,
0.4504233036389041,1948,188,2.986725889675451,82,17,656,47,720,976,777,22,30,8,
0.5197191965064278,415,54,1.5429473940657699,30,6,653,76,1034,936,911,4,26,21,
0.5890150893739515,1518,415,2.120458792309642,49,26,651,337,1022,873,1209,1,38,26,
0.6583109822414752,1105,447,2.7489270786338564,68,36,649,107,908,800,1506,22,21,27,
0.7276068751089989,1719,396,2.7149558199136283,70,32,646,51,884,847,1322,25,20,27,
0.7969027679765226,25,353,2.7319414492737426,58,28,645,114,957,763,1644,26,25,8,
0.8661986608440464,189,328,3.869978616401373,100,50,644,32,726,817,1430,20,17,7,
0.9354945537115701,519,510,1.3391198417444032,17,44,634,147,1035,742,1688,10,14,13,
1.0047904465790938,446,253,3.0206971483956786,78,19,631,38,719,786,1502,22,20,29,
1.0740863394466176,1788,544,1.3221342123842894,18,52,629,145,1033,732,1682,7,18,21,
1.1433822323141412,181,238,2.018545016148959,52,44,618,77,794,895,926,25,26,3,
1.212678125181665,404,340,2.7149558199136283,72,9,610,42,687,810,1290,20,22,29,
1.2819740180491885,1365,138,1.7977318344674782,43,11,609,21,935,834,1173,22,29,21,
1.3512699109167123,1479,355,4.37954749720479,98,50,607,102,699,765,1510,2,20,9,
1.420565803784236,96,226,2.2563438271905536,59,7,605,40,790,862,1030,22,22,6,
1.4898616966517597,87,544,1.390076729824745,18,13,599,112,985,724,1598,8,18,4,
1.5591575895192835,2044,367,2.5620851556726034,58,17,593,90,812,771,1382,22,22,29,
1.628453482386807,1225,442,1.6788324289466812,28,9,591,69,993,728,1545,29,19,27,
1.697749375254331,1633,201,1.6788324289466812,30,58,589,78,916,823,1076,26,28,27,
-1.697749375254331,485,241,3.615194175999665,91,53,583,69,708,842,964,2,9,5,
-1.628453482386807,819,183,1.356105471104517,18,52,581,60,960,929,635,29,16,24,
-1.5591575895192835,644,446,2.986725889675451,82,20,580,42,584,755,1395,13,12,10,
-1.4898616966517597,1376,377,1.4580192472652005,26,52,578,81,920,721,1515,5,15,6,
-1.420565803784236,740,67,1.4919905059854282,26,52,574,92,913,872,809,28,17,24,
-1.3512699109167123,97,426,1.525961764705656,29,58,569,116,889,737,1418,26,21,29,
-1.2819740180491885,1163,125,1.84868872254782,47,35,561,55,709,774,1145,22,21,4,
-1.212678125181665,1769,499,1.3051485830241754,14,13,555,144,915,678,1560,28,17,3,
-1.1433822323141412,2440,475,1.6788324289466812,36,24,554,84,778,779,1063,4,10,29,
-1.0740863394466176,91,136,1.4410336179050867,21,9,552,44,950,748,1273,22,20,28,
-1.0047904465790938,1497,487,2.511128267592262,57,38,547,64,847,742,1304,20,15,28,
-0.9354945537115701,1919,340,2.4262001207916923,52,39,543,13,881,758,1171,2,22,27,
-0.8661986608440464,137,175,1.865674351907934,46,44,539,43,689,830,785,13,16,5,
-0.7969027679765226,1047,92,1.8996456106281616,48,2,537,9,627,860,673,2,18,29,
-0.7276068751089989,551,275,1.7128036876669088,36,9,535,57,825,761,1098,20,17,3,
-0.6583109822414752,741,251,1.4070623591848588,21,8,533,60,919,736,1221,25,21,3,
-0.5890150893739515,1019,537,1.7807462051073644,20,17,532,106,996,507,91,29,14,5,
-0.5197191965064278,2138,520,1.373091100464631,7,5,530,125,1004,660,1539,28,17,25,
-0.4504233036389041,881,191,2.7659127079939703,61,36,526,15,724,843,679,13,6,3,
-0.3811274107713804,1583,93,3.1905534419968173,82,34,525,141,529,617,1681,2,7,6,
-0.3118315179038567,2452,167,5.415670888171737,124,49,520,314,243,644,1580,1,55,20,
-0.24253562503633297,2052,461,1.5939042821461116,30,11,520,66,857,672,1445,20,26,27,
-0.17323973216880928,1946,241,2.5790707850327173,70,7,519,12,461,689,1341,13,17,17,
-0.10394383930128556,967,43,2.3412719739911227,51,36,517,12,835,726,1175,2,12,26,
-0.03464794643376185,1778,202,1.7977318344674782,40,4,513,54,706,754,1012,25,11,7,
0.03464794643376185,1637,320,1.0673497719825809,3,3,511,59,986,720,1140,25,19,26,
0.10394383930128556,1271,520,1.84868872254782,35,15,505,30,811,696,1223,22,16,4,
0.17323973216880928,1261,321,2.2733294565506674,39,45,504,14,1000,616,1604,13,12,6,
0.24253562503633297,2113,325,4.5154325320857005,86,57,501,69,626,631,1549,2,7,14,
0.3118315179038567,1349,223,1.2881629536640615,13,2,500,17,803,790,743,2,22,24,
0.3811274107713804,527,65,1.559933023425884,24,12,499,17,868,734,1004,2,17,27,
0.4504233036389041,1201,475,1.7807462051073644,33,10,497,92,774,610,1594,13,11,25,
0.5197191965064278,1521,398,2.375243232711351,62,6,494,24,462,707,1094,20,14,7,
0.5890150893739515,2125,329,1.6618467995865671,33,5,489,30,711,670,1281,20,18,6,
0.6583109822414752,862,364,1.186249177503378,213,7,488,59,1015,717,1006,22,20,24,
0.7276068751089989,5,365,1.7637605757472505,26,9,486,55,798,595,1591,20,11,29,
0.7969027679765226,2282,397,1.9166312399882754,39,15,485,21,715,715,1001,13,16,9,
0.8661986608440464,1062,555,0.7955797022207586,200,13,483,150,1020,501,53,29,11,27,
0.9354945537115701,1178,150,1.220220436223606,8,56,480,20,861,801,618,2,20,1,
1.0047904465790938,362,555,0.6257234086196196,190,3,478,59,1097,601,1555,4,8,13,
1.0740863394466176,48,264,2.4092144914315785,58,27,476,22,602,698,1017,2,7,12,
1.1433822323141412,1557,241,3.088639665836134,72,37,470,285,493,626,1433,1,5,10,
1.212678125181665,1241,417,2.035530645509073,40,7,467,57,617,600,1497,25,3,3,
1.2819740180491885,128,470,0.9314647371016697,211,35,464,81,902,640,1327,25,12,27,
1.3512699109167123,858,520,1.525961764705656,9,7,461,85,867,661,1163,22,15,27,
1.420565803784236,2373,510,1.4240479885449726,13,10,461,12,860,581,1530,13,14,28,
1.4898616966517597,545,91,1.3051485830241754,14,58,459,116,769,646,1256,27,5,26,
1.5591575895192835,1228,174,1.4240479885449726,18,60,457,22,725,700,893,13,11,26,
1.628453482386807,318,400,1.5089761353455422,18,9,454,28,788,579,1501,13,9,13,
1.697749375254331,1885,125,1.9166312399882754,31,15,452,24,710,722,793,22,11,25,
-1.697749375254331,2109,42,1.2032348068634922,5,7,449,14,878,709,825,2,21,28,
-1.628453482386807,620,322,1.356105471104517,4,16,446,46,941,589,1434,22,10,24,
-1.5591575895192835,514,520,1.5089761353455422,13,26,444,84,938,485,9,25,5,28,
-1.4898616966517597,781,534,0.8974934783814419,204,3,442,114,990,572,1484,20,16,21,
-1.420565803784236,2057,559,0.5917521498993918,184,3,439,132,1090,630,1230,28,8,24,
-1.3512699109167123,2392,430,1.525961764705656,29,35,435,40,560,686,865,13,15,7,
-1.2819740180491885,547,443,2.15443005102987,44,18,432,33,591,566,1459,13,3,4,
-1.212678125181665,120,528,0.8974934783814419,205,24,431,30,881,586,1362,20,18,26,
-1.1433822323141412,866,278,2.5790707850327173,55,49,428,299,691,623,1198,1,6,26,
-1.0740863394466176,2445,366,1.390076729824745,14,3,420,62,697,656,930,25,7,28,
-1.0047904465790938,787,537,1.2372060655837198,3,4,419,11,807,364,98,2,12,29,
-0.9354945537115701,1077,529,0.6257234086196196,185,58,417,91,1046,442,31,29,4,25,
-0.8661986608440464,586,510,1.2372060655837198,8,6,414,57,773,629,1096,20,11,28,
-0.7969027679765226,935,504,0.5238096324589363,182,3,411,81,1085,574,1324,22,16,25,
-0.7276068751089989,110,126,2.0525162748691868,36,31,409,25,707,592,1215,2,7,6,
-0.6583109822414752,81,198,0.8465365903011002,205,60,405,330,891,694,691,1,19,24,
-0.5890150893739515,1534,510,1.4750048766253143,15,5,404,40,678,513,1522,2,8,26,
-0.5197191965064278,2063,499,0.6087377792595057,190,35,402,108,994,534,1437,27,8,21,
-0.4504233036389041,1319,406,1.4919905059854282,13,18,400,31,798,596,1152,13,10,28,
-0.3811274107713804,2167,309,1.2541916949438336,10,58,399,53,670,653,861,20,67,4,
-0.3118315179038567,1375,544,1.033378513262353,212,44,398,79,779,468,1653,25,7,28,
-0.24253562503633297,1545,510,0.7955797022207586,203,24,396,72,841,489,1583,26,7,24,
-0.17323973216880928,2196,439,0.6936659260600752,196,35,395,80,909,559,1297,28,7,8,
-0.10394383930128556,1864,305,0.8465365903011002,200,4,393,13,940,565,1267,2,14,25,
-0.03464794643376185,791,277,1.865674351907934,45,16,391,308,476,625,995,1,4,5,
