Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,source,4s,6s
RWV Robins (ENG),1929-1937,19,27,4,612,108,26.6,,,1,4,4,test.csv,,
JC Watkins (SA),1949-1957,15,27,1,612,92,23.53,,,0,3,2,test.csv,,
CS Baugh (WI),2003-2012,21,36,2,610,68,17.94,,,0,3,1,test.csv,,
SM Curran (ENG),2018-2019,14,25,4,610,78,29.04,,,0,3,3,test.csv,,
PM Pollock (SA),1961-1970,28,41,13,607,75*,21.67,,,0,2,3,test.csv,,
JT Ikin (ENG),1946-1955,18,31,2,606,60,20.89,,,0,3,4,test.csv,,
RJ Harris (AUS),2010-2015,27,39,11,603,74,21.53,,,0,3,2,test.csv,,
RE Foster (ENG),1903-1907,8,14,1,602,287,46.3,,,1,1,1,test.csv,,
DA Murray (WI),1978-1982,19,31,3,601,84,21.46,,,0,3,3,test.csv,,
AG Steel (ENG),1880-1888,13,20,3,600,148,35.29,,,2,0,1,test.csv,,
BAG Murray (NZ),1968-1971,13,26,1,598,90,23.92,,,0,5,1,test.csv,,
TJE Andrews (AUS),1921-1926,16,23,1,592,94,26.9,,,0,4,0,test.csv,,
Adnan Akmal (PAK),2010-2014,21,29,5,591,64,24.62,,,0,3,2,test.csv,,
RG Barlow (ENG),1881-1887,17,30,4,591,62,22.73,,,0,2,3,test.csv,,
HR Lance (SA),1962-1970,13,22,1,591,70,28.14,,,0,5,1,test.csv,,
V Sibanda (ZIM),2003-2014,14,28,0,591,93,21.1,,,0,2,3,test.csv,,
MD Craig (NZ),2014-2016,15,25,9,589,67,36.81,,,0,3,1,test.csv,,
K Rabada (SA),2015-2019,41,60,10,586,34,11.72,,,0,0,11,test.csv,,
MHN Walker (AUS),1972-1977,34,43,13,586,78*,19.53,,,0,1,5,test.csv,,
Alok Kapali (BDESH),2002-2006,17,34,1,584,85,17.69,,,0,2,6,test.csv,,
Aftab Ahmed (BDESH),2004-2010,16,31,3,582,82*,20.78,,,0,1,4,test.csv,,
MP Donnelly (NZ),1937-1949,7,12,1,582,206,52.9,,,1,4,2,test.csv,,
PA Gibb (ENG),1938-1946,8,13,0,581,120,44.69,,,2,3,1,test.csv,,
MLC Foster (WI),1969-1978,14,24,5,580,125,30.52,,,1,1,0,test.csv,,
Umar Gul (PAK),2003-2013,47,67,9,577,65*,9.94,,,0,1,15,test.csv,,
MN Waller (ZIM),2011-2017,14,28,1,577,72*,21.37,,,0,4,4,test.csv,,
A Jadeja (INDIA),1992-2000,15,24,2,576,96,26.18,,,0,4,1,test.csv,,
RS Bopara (ENG),2007-2012,13,19,1,575,143,31.94,,,3,0,5,test.csv,,
TT Bresnan (ENG),2009-2013,23,26,4,575,91,26.13,,,0,3,3,test.csv,,
AD Hales (ENG),2015-2016,11,21,0,573,94,27.28,,,0,5,0,test.csv,,
CE McLeod (AUS),1894-1905,17,29,5,573,112,23.87,,,1,4,5,test.csv,,
RS Morton (WI),2005-2008,15,27,1,573,70*,22.03,,,0,4,1,test.csv,,
AB Agarkar (INDIA),1998-2006,26,39,5,571,109*,16.79,,,1,0,9,test.csv,,
SB Doull (NZ),1992-2000,32,50,11,570,46,14.61,,,0,0,10,test.csv,,
E Chigumbura (ZIM),2004-2014,14,27,0,569,88,21.07,,,0,4,6,test.csv,,
GL Jessop (ENG),1899-1912,18,26,0,569,104,21.88,,,1,3,3,test.csv,,
DAJ Bracewell (NZ),2011-2016,27,45,4,568,47,13.85,,,0,0,11,test.csv,,
KA Maharaj (SA),2016-2019,28,44,6,566,72,14.89,,,0,1,7,test.csv,,
Aamer Malik (PAK),1987-1994,14,19,3,565,117,35.31,,,2,3,3,test.csv,,
EDAS McMorris (WI),1958-1966,13,21,0,564,125,26.85,,,1,3,1,test.csv,,
GO Rabone (NZ),1949-1955,12,20,2,562,107,31.22,,,1,2,0,test.csv,,
CV Grimmett (AUS),1925-1936,37,50,10,557,50,13.92,,,0,1,7,test.csv,,
MF Maharoof (SL),2004-2011,22,34,4,556,72,18.53,,,0,3,1,test.csv,,
GP Wickramasinghe (SL),1991-2001,40,64,5,555,51,9.4,,,0,1,17,test.csv,,
SJE Loxton (AUS),1948-1951,12,15,0,554,101,36.93,,,1,3,1,test.csv,,
N Wagner (NZ),2012-2019,46,60,16,554,47,12.59,,,0,0,11,test.csv,,
SC Williams (ZIM),2013-2018,10,20,0,553,119,27.65,,,1,2,0,test.csv,,
AG Chipperfield (AUS),1934-1938,14,20,3,552,109,32.47,,,1,2,1,test.csv,,
B Kumar (INDIA),2013-2018,21,29,4,552,63*,22.08,,,0,3,4,test.csv,,
D Lloyd (ENG),1974-1975,9,15,2,552,214*,42.46,,,1,0,0,test.csv,,
S Amarnath (INDIA),1976-1978,10,18,0,550,124,30.55,,,1,3,1,test.csv,,
M Dillon (WI),1997-2004,38,68,3,549,43,8.44,,,0,0,26,test.csv,,
Iqbal Qasim (PAK),1976-1988,50,57,15,549,56,13.07,,,0,1,10,test.csv,,
JM Vince (ENG),2016-2018,13,22,0,548,83,24.9,,,0,3,2,test.csv,,
CB Llewellyn (SA),1896-1912,15,28,1,544,90,20.14,,,0,4,6,test.csv,,
Shoaib Akhtar (PAK),1997-2007,46,67,13,544,47,10.07,,,0,0,11,test.csv,,
WA Hadlee (NZ),1937-1951,11,19,1,543,116,30.16,,,1,2,1,test.csv,,
ML Apte (INDIA),1952-1953,7,13,2,542,163*,49.27,,,1,3,1,test.csv,,
AG Cremer (ZIM),2005-2017,19,38,5,540,102*,16.36,,,1,0,7,test.csv,,
AU Rashid (ENG),2015-2019,19,33,5,540,61,19.28,,,0,2,3,test.csv,,
LPC Silva (SL),2006-2008,11,17,1,537,152*,33.56,,,1,2,3,test.csv,,
RA Harper (WI),1983-1993,25,32,3,535,74,18.44,,,0,3,5,test.csv,,
RO Collinge (NZ),1965-1978,35,50,13,533,68*,14.4,,,0,2,9,test.csv,,
PJ Moor (ZIM),2016-2018,8,16,1,533,83,35.53,,,0,5,1,test.csv,,
PL van der Merwe (SA),1963-1967,15,23,2,533,76,25.38,,,0,3,3,test.csv,,
NC Johnson (ZIM),1998-2000,13,23,1,532,107,24.18,,,1,4,3,test.csv,,
HH Pandya (INDIA),2017-2018,11,18,1,532,108,31.29,,,1,4,2,test.csv,,
S Ranatunga (SL),1994-1997,9,17,1,531,118,33.18,,,2,2,1,test.csv,,
Aminul Islam (BDESH),2000-2002,13,26,1,530,145,21.2,,,1,2,3,test.csv,,
CC Griffith (WI),1960-1969,28,42,10,530,54,16.56,,,0,1,5,test.csv,,
DR Hadlee (NZ),1969-1978,26,42,5,530,56,14.32,,,0,1,9,test.csv,,
LJ Tancred (SA),1902-1913,14,26,1,530,97,21.2,,,0,2,5,test.csv,,
MD Stoneman (ENG),2017-2018,11,20,1,526,60,27.68,,,0,5,1,test.csv,,
CL Vincent (SA),1927-1935,25,38,12,526,60,20.23,,,0,2,4,test.csv,,
CS Serjeant (AUS),1977-1978,12,23,1,522,124,23.72,,,1,2,4,test.csv,,
GR Dilley (ENG),1979-1989,41,58,19,521,56,13.35,,,0,2,10,test.csv,,
Shahadat Hossain (BDESH),2005-2015,38,69,17,521,40,10.01,,,0,0,10,test.csv,,
Nafees Iqbal (BDESH),2004-2006,11,22,0,518,121,23.54,,,1,2,2,test.csv,,
GJ Bonnor (AUS),1880-1888,17,30,0,512,128,17.06,,,1,2,5,test.csv,,
WW Wade (SA),1938-1950,11,19,1,511,125,28.38,,,1,3,3,test.csv,,
WH Scotton (ENG),1881-1887,15,25,2,510,90,22.17,,,0,3,2,test.csv,,
AJY Hopkins (AUS),1902-1909,20,33,2,509,43,16.41,,,0,0,4,test.csv,,
BA Richards (SA),1970-1970,4,7,0,508,140,72.57,,,2,2,0,test.csv,,
Maqsood Ahmed (PAK),1952-1955,16,27,1,507,99,19.5,,,0,2,2,test.csv,,
JT Murray (ENG),1961-1967,21,28,5,506,112,22.0,,,1,2,3,test.csv,,
RO Hinds (WI),2002-2009,15,25,1,505,84,21.04,,,0,2,1,test.csv,,
BJ Hodge (AUS),2005-2008,6,11,2,503,203*,55.88,,,1,2,0,test.csv,,
BK Shepherd (AUS),1963-1965,9,14,2,502,96,41.83,,,0,5,1,test.csv,,
Taslim Arif (PAK),1980-1980,6,10,2,501,210*,62.62,,,1,2,1,test.csv,,
ME Chapple (NZ),1953-1966,14,27,1,497,76,19.11,,,0,3,2,test.csv,,
JB Bolus (ENG),1963-1964,7,12,0,496,88,41.33,,,0,4,0,test.csv,,
W Larkins (ENG),1980-1991,13,25,1,493,64,20.54,,,0,3,6,test.csv,,
ML Page (NZ),1930-1937,14,20,0,492,104,24.6,,,1,2,1,test.csv,,
LR Gibbs (WI),1958-1976,79,109,39,488,25,6.97,,,0,0,15,test.csv,,
Mohammad Sami (PAK),2001-2012,36,56,14,487,49,11.59,,,0,0,8,test.csv,,
A Ward (ENG),1893-1895,7,13,0,487,117,37.46,,,1,3,1,test.csv,,
SJ Benn (WI),2008-2015,26,39,5,486,42,14.29,,,0,0,7,test.csv,,
FR Martin (WI),1928-1931,9,18,1,486,123*,28.58,,,1,0,1,test.csv,,
Imam-ul-Haq (PAK),2018-2019,11,21,2,485,76,25.52,,,0,3,3,test.csv,,
H Larwood (ENG),1926-1933,21,28,3,485,98,19.4,,,0,2,4,test.csv,,
CE Pellew (AUS),1920-1921,10,14,1,484,116,37.23,,,2,1,0,test.csv,,
GJ Gilmour (AUS),1973-1977,15,22,1,483,101,23.0,,,1,3,3,test.csv,,
PR Sleep (AUS),1979-1990,14,21,1,483,90,24.15,,,0,3,4,test.csv,,
CT Radley (ENG),1978-1978,8,10,0,481,158,48.1,,,2,2,1,test.csv,,
Sabbir Rahman (BDESH),2016-2018,11,22,2,481,66,24.05,,,0,4,5,test.csv,,
RH Spooner (ENG),1905-1912,10,15,0,481,119,32.06,,,1,4,2,test.csv,,
BW Yuile (NZ),1963-1969,17,33,6,481,64,17.81,,,0,1,3,test.csv,,
JED Sealy (WI),1930-1939,11,19,2,478,92,28.11,,,0,3,2,test.csv,,
J Worrall (AUS),1885-1899,11,22,3,478,76,25.15,,,0,5,2,test.csv,,
KTGD Prasad (SL),2008-2015,25,39,2,476,47,12.86,,,0,0,8,test.csv,,
LS Darling (AUS),1933-1937,12,18,1,474,85,27.88,,,0,3,2,test.csv,,
A Jackson (AUS),1929-1931,8,11,1,474,164,47.4,,,1,2,1,test.csv,,
MJ Hoggard (ENG),2000-2008,67,92,27,473,38,7.27,,,0,0,19,test.csv,,
TP Horan (AUS),1877-1885,15,27,2,471,124,18.84,,,1,1,3,test.csv,,
SB Bangar (INDIA),2001-2002,12,18,2,470,100*,29.37,,,1,3,2,test.csv,,
WKM Benjamin (WI),1987-1995,21,26,1,470,85,18.8,,,0,2,4,test.csv,,
JT Brown (ENG),1894-1899,8,16,3,470,140,36.15,,,1,1,2,test.csv,,
JN Crawford (ENG),1906-1908,12,23,2,469,74,22.33,,,0,2,1,test.csv,,
AB Williams (WI),1978-1979,7,12,0,469,111,39.08,,,2,1,1,test.csv,,
PM Nevill (AUS),2015-2016,17,23,2,468,66,22.28,,,0,3,1,test.csv,,
GH Vihari (INDIA),2018-2019,7,12,1,466,111,42.36,,,1,3,1,test.csv,,
BC Strang (ZIM),1995-2001,26,45,9,465,53,12.91,,,0,1,8,test.csv,,
RJ Peterson (SA),2003-2014,15,20,3,464,84,27.29,,,0,3,2,test.csv,,
JM Read (ENG),1882-1893,17,29,2,461,57,17.07,,,0,2,3,test.csv,,
PL Harris (SA),2007-2011,37,48,5,460,46,10.69,,,0,0,9,test.csv,,
PGV van der Bijl (SA),1938-1939,5,9,0,460,125,51.11,,,1,2,0,test.csv,,
CL McCool (AUS),1946-1950,14,17,4,459,104*,35.3,,,1,1,0,test.csv,,
TA Ward (SA),1912-1924,23,42,9,459,64,13.9,,,0,2,5,test.csv,,
VJ Scott (NZ),1946-1952,10,17,1,458,84,28.62,,,0,3,1,test.csv,,
A Cotter (AUS),1904-1912,21,37,2,457,45,13.05,,,0,0,6,test.csv,,
AR Lewis (ENG),1972-1973,9,16,2,457,125,32.64,,,1,3,2,test.csv,,
TE Blain (NZ),1986-1994,11,20,3,456,78,26.82,,,0,2,2,test.csv,,
TM Moody (AUS),1989-1992,8,14,0,456,106,32.57,,,2,3,1,test.csv,,
JM Blanckenberg (SA),1913-1924,18,30,7,455,59,19.78,,,0,2,2,test.csv,,
DAS Gunaratne (SL),2016-2017,6,10,2,455,116,56.87,,,1,3,1,test.csv,,
MD Moxon (ENG),1986-1989,10,17,1,455,99,28.43,,,0,3,2,test.csv,,
BH Pairaudeau (WI),1953-1957,13,21,0,454,115,21.61,,,1,3,3,test.csv,,
BH Valentine (ENG),1933-1939,7,9,2,454,136,64.85,,,2,1,0,test.csv,,
B Wood (ENG),1972-1978,12,21,0,454,90,21.61,,,0,2,1,test.csv,,
Mohammed Shami (INDIA),2013-2019,47,60,19,453,51*,11.04,,,0,1,13,test.csv,,
Saeed Ajmal (PAK),2009-2014,35,53,12,451,50,11.0,,,0,1,9,test.csv,,
MA Vermeulen (ZIM),2002-2014,9,18,0,449,118,24.94,,,1,2,3,test.csv,,
WV Raman (INDIA),1988-1997,11,19,1,448,96,24.88,,,0,4,4,test.csv,,
IS Sodhi (NZ),2013-2018,17,25,4,448,63,21.33,,,0,3,4,test.csv,,
TR Ambrose (ENG),2008-2009,11,16,1,447,102,29.8,,,1,3,2,test.csv,,
TJ Friend (ZIM),2001-2004,13,19,4,447,81,29.8,,,0,3,4,test.csv,,
JL Hendriks (WI),1962-1969,20,32,8,447,64,18.62,,,0,2,4,test.csv,,
CT Bancroft (AUS),2017-2019,10,18,1,446,82*,26.23,,,0,3,1,test.csv,,
NA Foster (ENG),1983-1993,29,45,7,446,39,11.73,,,0,0,9,test.csv,,
RJ Bright (AUS),1977-1986,25,39,8,445,33,14.35,,,0,0,6,test.csv,,
MS Kasprowicz (AUS),1996-2006,38,54,12,445,25,10.59,,,0,0,7,test.csv,,
CD Cumming (NZ),2005-2008,11,19,2,441,74,25.94,,,0,1,1,test.csv,,
Mohammad Ilyas (PAK),1964-1969,10,19,0,441,126,23.21,,,1,2,1,test.csv,,
JW Guy (NZ),1955-1961,12,23,2,440,102,20.95,,,1,3,3,test.csv,,
RM Hogg (AUS),1978-1984,38,58,13,439,52,9.75,,,0,1,14,test.csv,,
WM Wallace (NZ),1937-1953,13,21,0,439,66,20.9,,,0,5,0,test.csv,,
A Chopra (INDIA),2003-2004,10,19,0,437,60,23.0,,,0,2,1,test.csv,,
Saleem Elahi (PAK),1995-2003,13,24,1,436,72,18.95,,,0,1,6,test.csv,,
RJ Ratnayake (SL),1983-1992,23,36,6,433,56,14.43,,,0,2,5,test.csv,,
PL Taylor (AUS),1987-1991,13,19,3,431,87,26.93,,,0,2,1,test.csv,,
AA Mallett (AUS),1968-1980,38,50,13,430,43*,11.62,,,0,0,10,test.csv,,
AA Baig (INDIA),1959-1967,10,18,0,428,112,23.77,,,1,2,1,test.csv,,
TB de Bruyn (SA),2017-2019,12,23,1,428,101,19.45,,,1,0,2,test.csv,,
SP Jones (AUS),1882-1888,12,24,4,428,87,21.4,,,0,1,3,test.csv,,
Imran Nazir (PAK),1999-2002,8,13,0,427,131,32.84,,,2,1,3,test.csv,,
R Peel (ENG),1884-1896,20,33,4,427,83,14.72,,,0,3,8,test.csv,,
PW Sherwell (SA),1906-1911,13,22,4,427,115,23.72,,,1,1,1,test.csv,,
DR Tuffey (NZ),2000-2010,26,36,10,427,80*,16.42,,,0,1,6,test.csv,,
NM Hauritz (AUS),2004-2010,17,24,7,426,75,25.05,,,0,2,1,test.csv,,
DT Ring (AUS),1948-1953,13,21,2,426,67,22.42,,,0,4,2,test.csv,,
PK Amre (INDIA),1992-1993,11,13,3,425,103,42.5,,,1,3,0,test.csv,,
D Denton (ENG),1905-1910,11,22,1,424,104,20.19,,,1,1,4,test.csv,,
RW Anderson (NZ),1976-1978,9,18,0,423,92,23.5,,,0,3,1,test.csv,,
AG Kripal Singh (INDIA),1955-1964,14,20,5,422,100*,28.13,,,1,2,4,test.csv,,
GG Arnold (ENG),1967-1975,34,46,11,421,59,12.02,,,0,1,5,test.csv,,
RDB Croft (ENG),1996-2001,21,34,8,421,37*,16.19,,,0,0,2,test.csv,,
HG Vivian (NZ),1931-1937,7,10,0,421,100,42.1,,,1,5,0,test.csv,,
RB Desai (INDIA),1959-1968,28,44,13,418,85,13.48,,,0,1,8,test.csv,,
CK Kapugedera (SL),2006-2009,8,15,3,418,96,34.83,,,0,4,1,test.csv,,
CL King (WI),1976-1980,9,16,3,418,100*,32.15,,,1,2,3,test.csv,,
Naeem Islam (BDESH),2008-2012,8,15,2,416,108,32.0,,,1,1,0,test.csv,,
AE Relf (ENG),1903-1914,13,21,3,416,63,23.11,,,0,1,1,test.csv,,
GL Weir (NZ),1930-1937,11,16,2,416,74*,29.71,,,0,3,1,test.csv,,
JL Pattinson (AUS),2011-2019,20,24,9,415,47*,27.66,,,0,0,2,test.csv,,
GC Grant (WI),1930-1935,12,22,6,413,71*,25.81,,,0,3,1,test.csv,,
AG Fairfax (AUS),1929-1931,10,12,4,410,65,51.25,,,0,4,0,test.csv,,
WJ O'Reilly (AUS),1932-1946,27,39,7,410,56*,12.81,,,0,1,6,test.csv,,
AH Bakewell (ENG),1931-1935,6,9,0,409,107,45.44,,,1,3,0,test.csv,,
DJ Insole (ENG),1950-1957,9,17,2,408,110*,27.2,,,1,1,2,test.csv,,
DBL Powell (WI),2002-2009,37,57,5,407,36*,7.82,,,0,0,15,test.csv,,
DS de Silva (SL),1982-1984,12,22,3,406,61,21.36,,,0,2,3,test.csv,,
JH Hampshire (ENG),1969-1975,8,16,1,403,107,26.86,,,1,2,2,test.csv,,
LR Johnson (WI),2014-2016,9,16,0,403,66,25.18,,,0,2,2,test.csv,,
AJ Richardson (AUS),1924-1926,9,13,0,403,100,31.0,,,1,2,1,test.csv,,
NS Yadav (INDIA),1979-1987,35,40,12,403,43,14.39,,,0,0,4,test.csv,,
JR Hazlewood (AUS),2014-2019,51,62,29,402,39,12.18,,,0,0,10,test.csv,,
TL Best (WI),2003-2013,25,38,6,401,95,12.53,,,0,1,9,test.csv,,
KE Rigg (AUS),1931-1937,8,12,0,401,127,33.41,,,1,1,0,test.csv,,
BN Jarman (AUS),1959-1969,19,30,3,400,78,14.81,,,0,2,5,test.csv,,
NBF Mann (SA),1947-1951,19,31,1,400,52,13.33,,,0,1,4,test.csv,,
M van Jaarsveld (SA),2002-2004,9,15,2,397,73,30.53,,,0,3,0,test.csv,,
C Sharma (INDIA),1984-1989,23,27,9,396,54,22.0,,,0,1,2,test.csv,,
Abdur Rehman (PAK),2007-2014,22,31,3,395,60,14.1,,,0,2,4,test.csv,,
JW Gleeson (AUS),1967-1972,29,46,8,395,45,10.39,,,0,0,11,test.csv,,
Shujauddin (PAK),1954-1962,19,32,6,395,47,15.19,,,0,0,3,test.csv,,
S van Zyl (SA),2014-2016,12,17,2,395,101*,26.33,,,1,0,2,test.csv,,
JEF Beck (NZ),1953-1956,8,15,0,394,99,26.26,,,0,3,1,test.csv,,
FH Edwards (WI),2003-2012,55,88,28,394,30,6.56,,,0,0,19,test.csv,,
SJ Rixon (AUS),1977-1985,13,24,3,394,54,18.76,,,0,2,4,test.csv,,
D Tallon (AUS),1946-1953,21,26,3,394,92,17.13,,,0,2,3,test.csv,,
W Gunn (ENG),1887-1899,11,20,2,392,102*,21.77,,,1,1,1,test.csv,,
CL Smith (ENG),1983-1986,8,14,1,392,91,30.15,,,0,2,1,test.csv,,
KMDN Kulasekara (SL),2005-2014,21,28,1,391,64,14.48,,,0,1,4,test.csv,,
RB Minnett (AUS),1911-1912,9,15,0,391,90,26.06,,,0,3,3,test.csv,,
ARC Fraser (ENG),1989-1998,46,67,15,388,32,7.46,,,0,0,9,test.csv,,
CO Browne (WI),1995-2005,20,30,6,387,68,16.12,,,0,1,7,test.csv,,
VC Drakes (WI),2002-2004,12,20,2,386,67,21.44,,,0,1,2,test.csv,,
MS Harris (AUS),2018-2019,9,17,1,385,79,24.06,,,0,2,0,test.csv,,
J Mubarak (SL),2002-2015,13,23,1,385,49,17.5,,,0,0,5,test.csv,,
MJ Stewart (ENG),1962-1964,8,12,1,385,87,35.0,,,0,2,1,test.csv,,
Tapash Baisya (BDESH),2002-2005,21,40,6,384,66,11.29,,,0,2,9,test.csv,,
EE Hemmings (ENG),1982-1991,16,21,4,383,95,22.52,,,0,2,5,test.csv,,
J Moroney (AUS),1949-1952,7,12,1,383,118,34.81,,,2,1,3,test.csv,,
LK Germon (NZ),1995-1997,12,21,3,382,55,21.22,,,0,1,3,test.csv,,
DR Parry (WI),1978-1980,12,20,3,381,65,22.41,,,0,3,3,test.csv,,
JS Patel (NZ),2006-2017,24,38,8,381,47,12.7,,,0,0,7,test.csv,,
PGH Fender (ENG),1921-1929,13,21,1,380,60,19.0,,,0,2,3,test.csv,,
RIC Holder (WI),1997-1999,11,17,2,380,91,25.33,,,0,2,1,test.csv,,
DK Morrison (NZ),1987-1997,48,71,26,379,42,8.42,,,0,0,24,test.csv,,
S Shivnarine (WI),1978-1979,8,14,1,379,63,29.15,,,0,4,2,test.csv,,
PGZ Harris (NZ),1955-1965,9,18,1,378,101,22.23,,,1,1,3,test.csv,,
GN Edwards (NZ),1977-1981,8,15,0,377,55,25.13,,,0,3,2,test.csv,,
FG Mann (ENG),1948-1949,7,12,2,376,136*,37.6,,,1,0,0,test.csv,,
DJ Capel (ENG),1987-1990,15,25,1,374,98,15.58,,,0,2,4,test.csv,,
GRA Langley (AUS),1951-1956,26,37,12,374,53,14.96,,,0,1,3,test.csv,,
KK Nair (INDIA),2016-2017,6,7,1,374,303*,62.33,,,1,0,1,test.csv,,
RO Schwarz (SA),1906-1912,20,35,8,374,61,13.85,,,0,1,6,test.csv,,
Taijul Islam (BDESH),2014-2019,27,45,6,374,39*,9.58,,,0,0,5,test.csv,,
WGA Parkhouse (ENG),1950-1959,7,13,0,373,78,28.69,,,0,2,1,test.csv,,
RG Samuels (WI),1996-1997,6,12,2,372,125,37.2,,,1,1,0,test.csv,,
AE Dick (NZ),1961-1965,17,30,4,370,50*,14.23,,,0,1,4,test.csv,,
Talat Ali (PAK),1972-1979,10,18,2,370,61,23.12,,,0,2,2,test.csv,,
KDK Vithanage (SL),2013-2015,10,16,2,370,103*,26.42,,,1,1,1,test.csv,,
NAM McLean (WI),1998-2001,19,32,2,368,46,12.26,,,0,0,6,test.csv,,
IDK Salisbury (ENG),1992-2000,15,25,3,368,50,16.72,,,0,1,4,test.csv,,
PJ Wiseman (NZ),1998-2005,25,34,8,366,36,14.07,,,0,0,5,test.csv,,
NJN Hawke (AUS),1963-1968,27,37,15,365,45*,16.59,,,0,0,6,test.csv,,
WE Russell (ENG),1961-1967,10,18,1,362,70,21.29,,,0,2,2,test.csv,,
S Ramadhin (WI),1950-1961,43,58,14,361,44,8.2,,,0,0,14,test.csv,,
PR Adams (SA),1995-2004,45,55,15,360,35,9.0,,,0,0,8,test.csv,,
Danish Kaneria (PAK),2000-2010,61,84,33,360,29,7.05,,,0,0,25,test.csv,,
CMW Read (ENG),1999-2007,15,23,4,360,55,18.94,,,0,1,5,test.csv,,
PS de Villiers (SA),1993-1998,18,26,7,359,67*,18.89,,,0,2,3,test.csv,,
HJH Scott (AUS),1884-1886,8,14,1,359,102,27.61,,,1,1,0,test.csv,,
ID Craig (AUS),1953-1958,11,18,0,358,53,19.88,,,0,2,3,test.csv,,
BC Rose (ENG),1977-1981,9,16,2,358,70,25.57,,,0,2,0,test.csv,,
P Holmes (ENG),1921-1932,7,14,1,357,88,27.46,,,0,4,3,test.csv,,
SJ Pegler (SA),1910-1924,16,28,5,356,35*,15.47,,,0,0,6,test.csv,,
AJ Bichel (AUS),1997-2003,19,22,1,355,71,16.9,,,0,1,3,test.csv,,
JMM Commaille (SA),1910-1928,12,22,1,355,47,16.9,,,0,0,1,test.csv,,
BW Hilfenhaus (AUS),2009-2012,27,38,12,355,56*,13.65,,,0,1,8,test.csv,,
PNF Mansell (SA),1951-1955,13,22,2,355,90,17.75,,,0,2,3,test.csv,,
MS Nichols (ENG),1930-1939,14,19,7,355,78*,29.58,,,0,2,0,test.csv,,
MB Poore (NZ),1953-1956,14,24,1,355,45,15.43,,,0,0,6,test.csv,,
WA Shalders (SA),1899-1907,12,23,1,355,42,16.13,,,0,0,4,test.csv,,
RT Spooner (ENG),1951-1955,7,14,1,354,92,27.23,,,0,3,3,test.csv,,
MN Hart (NZ),1994-1995,14,24,4,353,45,17.65,,,0,0,3,test.csv,,
BL Irvine (SA),1970-1970,4,7,0,353,102,50.42,,,1,2,0,test.csv,,
SAR Silva (SL),1983-1988,9,16,2,353,111,25.21,,,2,0,1,test.csv,,
HB Taber (AUS),1966-1970,16,27,5,353,48,16.04,,,0,0,3,test.csv,,
SB Joshi (INDIA),1996-2000,15,19,2,352,92,20.7,,,0,1,2,test.csv,,
JG Leggat (NZ),1952-1956,9,18,2,351,61,21.93,,,0,2,1,test.csv,,
S Matsikenyeri (ZIM),2003-2005,8,16,1,351,57,23.4,,,0,2,0,test.csv,,
DK Gaekwad (INDIA),1952-1961,11,20,1,350,52,18.42,,,0,1,3,test.csv,,
P Lever (ENG),1970-1975,17,18,2,350,88*,21.87,,,0,2,1,test.csv,,
CK Nayudu (INDIA),1932-1936,7,14,0,350,81,25.0,,,0,2,0,test.csv,,
SCG MacGill (AUS),1998-2008,44,47,11,349,43,9.69,,,0,0,12,test.csv,,
CR Matthews (SA),1992-1995,18,25,6,348,62*,18.31,,,0,1,4,test.csv,,
EP Nupen (SA),1921-1936,17,31,7,348,69,14.5,,,0,2,5,test.csv,,
Jahurul Islam (BDESH),2010-2013,7,14,1,347,48,26.69,,,0,0,2,test.csv,,
LSM Miller (NZ),1953-1958,13,25,0,346,47,13.84,,,0,0,5,test.csv,,
MA Carberry (ENG),2010-2014,6,12,0,345,60,28.75,,,0,1,2,test.csv,,
EW Freeman (AUS),1968-1970,11,18,0,345,76,19.16,,,0,2,0,test.csv,,
Rizwan-uz-Zaman (PAK),1981-1989,11,19,1,345,60,19.16,,,0,3,2,test.csv,,
Sanwar Hossain (BDESH),2001-2003,9,18,0,345,49,19.16,,,0,0,1,test.csv,,
Lord Tennyson (ENG),1913-1921,9,12,1,345,74*,31.36,,,0,4,1,test.csv,,
D Dasgupta (INDIA),2001-2002,8,13,1,344,100,28.66,,,1,2,2,test.csv,,
FA Rose (WI),1997-2000,19,28,2,344,69,13.23,,,0,1,2,test.csv,,
LA Stricker (SA),1910-1912,13,24,0,344,48,14.33,,,0,0,5,test.csv,,
TM Dowlin (WI),2009-2010,6,11,0,343,95,31.18,,,0,3,0,test.csv,,
FLH Mooney (NZ),1949-1954,14,22,2,343,46,17.15,,,0,0,1,test.csv,,
CA Best (WI),1986-1990,8,13,1,342,164,28.5,,,1,1,1,test.csv,,
DJ Brown (ENG),1965-1969,26,34,5,342,44*,11.79,,,0,0,6,test.csv,,
KL Hutchings (ENG),1907-1909,7,12,0,341,126,28.41,,,1,1,1,test.csv,,
CFK van Wyk (NZ),2012-2012,9,17,1,341,71,21.31,,,0,1,3,test.csv,,
AEE Vogler (SA),1906-1911,15,26,6,340,65,17.0,,,0,2,4,test.csv,,
TW Garrett (AUS),1877-1888,19,33,6,339,51*,12.55,,,0,1,5,test.csv,,
GJ Maxwell (AUS),2013-2017,7,14,1,339,104,26.07,,,1,0,0,test.csv,,
UT Yadav (INDIA),2011-2019,45,50,22,339,31,12.1,,,0,0,5,test.csv,,
A Nel (SA),2001-2008,36,42,8,337,34,9.91,,,0,0,11,test.csv,,
