Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,source,4s,6s
BK Kunderan (INDIA),1960-1967,18,34,4,981,192,32.7,,,2,3,1,test.csv,,
FS Trueman (ENG),1952-1965,67,85,14,981,39*,13.81,,,0,0,11,test.csv,,
RJ Burns (ENG),2018-2019,15,29,0,979,133,33.75,,,2,6,1,test.csv,,
B Yardley (AUS),1978-1983,33,54,4,978,74,19.56,,,0,4,8,test.csv,,
IJ Siedle (SA),1928-1936,18,34,0,977,141,28.73,,,1,5,3,test.csv,,
BP Patel (INDIA),1974-1977,21,38,5,972,115*,29.45,,,1,5,0,test.csv,,
Junaid Siddique (BDESH),2008-2012,19,37,0,969,106,26.18,,,1,7,2,test.csv,,
PG Fulton (NZ),2006-2014,23,39,1,967,136,25.44,,,2,5,3,test.csv,,
JWHT Douglas (ENG),1911-1925,23,35,2,962,119,29.15,,,1,6,3,test.csv,,
FCM Alexander (WI),1957-1961,25,38,6,961,108,30.03,,,1,7,5,test.csv,,
SA Thomson (NZ),1990-1995,19,35,4,958,120*,30.9,,,1,5,3,test.csv,,
PS McDonnell (AUS),1880-1888,19,34,1,955,147,28.93,,,3,2,6,test.csv,,
PR Reiffel (AUS),1992-1998,35,50,14,955,79*,26.52,,,0,6,5,test.csv,,
CA Roach (WI),1928-1935,16,32,1,952,209,30.7,,,2,6,6,test.csv,,
G Ulyett (ENG),1877-1890,25,39,0,949,149,24.33,,,1,7,6,test.csv,,
GD McKenzie (AUS),1961-1971,60,89,12,945,76,12.27,,,0,2,15,test.csv,,
M Morkel (SA),2006-2018,86,104,23,944,40,11.65,,,0,0,22,test.csv,,
CR Ervine (ZIM),2011-2017,15,30,2,941,160,33.6,,,2,3,2,test.csv,,
CJ McDermott (AUS),1984-1996,71,90,13,940,42*,12.2,,,0,0,13,test.csv,,
DL Underwood (ENG),1966-1982,86,116,35,937,45*,11.56,,,0,0,19,test.csv,,
CA Walsh (WI),1984-2001,132,185,61,936,30*,7.54,,,0,0,43,test.csv,,
PAJ DeFreitas (ENG),1986-1995,44,68,5,934,88,14.82,,,0,4,10,test.csv,,
PSP Handscomb (AUS),2016-2019,16,29,5,934,110,38.91,,,2,4,1,test.csv,,
PA Patel (INDIA),2002-2018,25,38,8,934,71,31.13,,,0,6,4,test.csv,,
MDKJ Perera (SL),2015-2019,18,33,3,934,153*,31.13,,,2,4,5,test.csv,,
Asif Mujtaba (PAK),1986-1997,25,41,3,928,65*,24.42,,,0,8,5,test.csv,,
BL Cairns (NZ),1974-1985,43,65,8,928,64,16.28,,,0,2,7,test.csv,,
AH Kardar (INDIA/PAK),1946-1958,26,42,3,927,93,23.76,,,0,5,2,test.csv,,
Saqlain Mushtaq (PAK),1995-2004,49,78,14,927,101*,14.48,,,1,2,13,test.csv,,
APF Chapman (ENG),1924-1931,26,36,4,925,121,28.9,,,1,5,2,test.csv,,
DS Atkinson (WI),1948-1958,22,35,6,922,219,31.79,,,1,5,4,test.csv,,
CM Spearman (NZ),1995-2000,19,37,2,922,112,26.34,,,1,3,3,test.csv,,
GHS Trott (AUS),1888-1898,24,42,0,921,143,21.92,,,1,4,7,test.csv,,
CWJ Athey (ENG),1980-1988,23,41,1,919,123,22.97,,,1,4,2,test.csv,,
DA Allen (ENG),1960-1966,39,51,15,918,88,25.5,,,0,5,4,test.csv,,
JR Murray (WI),1993-2002,33,45,4,918,101*,22.39,,,1,3,9,test.csv,,
KD Ghavri (INDIA),1974-1981,39,57,14,913,86,21.23,,,0,2,2,test.csv,,
MA Holding (WI),1975-1987,60,76,10,910,73,13.78,,,0,6,15,test.csv,,
CAG Russell (ENG),1920-1923,10,18,2,910,140,56.87,,,5,2,2,test.csv,,
WL Murdoch (AUS/ENG),1877-1892,19,34,5,908,211,31.31,,,2,1,3,test.csv,,
DK Lillee (AUS),1971-1984,70,90,24,905,73*,13.71,,,0,1,10,test.csv,,
AFA Lilley (ENG),1896-1909,35,52,8,903,84,20.52,,,0,4,10,test.csv,,
PA Jaques (AUS),2005-2008,11,19,0,902,150,47.47,,,3,6,1,test.csv,,
Azhar Mahmood (PAK),1997-2001,21,34,4,900,136,30.0,,,3,1,5,test.csv,,
BR Taylor (NZ),1965-1973,30,50,6,898,124,20.4,,,2,2,8,test.csv,,
GJ Cosier (AUS),1975-1978,18,32,1,897,168,28.93,,,2,3,3,test.csv,,
RJ Christiani (WI),1948-1954,22,37,3,896,107,26.35,,,1,4,0,test.csv,,
GF Lawson (AUS),1980-1989,46,68,12,894,74,15.96,,,0,4,6,test.csv,,
A Melville (SA),1938-1949,11,19,2,894,189,52.58,,,4,3,2,test.csv,,
PM Toohey (AUS),1977-1980,15,29,1,893,122,31.89,,,1,7,3,test.csv,,
SN McGregor (NZ),1955-1965,25,47,2,892,111,19.82,,,1,3,5,test.csv,,
ATW Grout (AUS),1957-1966,51,67,8,890,74,15.08,,,0,3,11,test.csv,,
KAJ Roach (WI),2009-2019,56,90,17,890,41,12.19,,,0,0,13,test.csv,,
DB Close (ENG),1949-1976,22,37,2,887,70,25.34,,,0,4,3,test.csv,,
AM Blignaut (ZIM),2001-2005,19,36,3,886,92,26.84,,,0,6,6,test.csv,,
JE Cheetham (SA),1949-1955,24,43,6,883,89,23.86,,,0,5,1,test.csv,,
JDB Robertson (ENG),1947-1952,11,21,2,881,133,46.36,,,2,6,0,test.csv,,
A Sandham (ENG),1921-1930,14,23,0,879,325,38.21,,,2,3,3,test.csv,,
W Watson (ENG),1951-1959,23,37,3,879,116,25.85,,,2,3,3,test.csv,,
L Amarnath (INDIA),1933-1952,24,40,4,878,118,24.38,,,1,4,5,test.csv,,
PH Edmonds (ENG),1975-1987,51,65,15,875,64,17.5,,,0,2,5,test.csv,,
H Carter (AUS),1907-1921,28,47,9,873,72,22.97,,,0,4,4,test.csv,,
HR Adhikari (INDIA),1947-1959,21,36,8,872,114*,31.14,,,1,4,5,test.csv,,
MA Agarwal (INDIA),2018-2019,9,13,0,872,243,67.07,,,3,3,0,test.csv,,
GC White (SA),1906-1912,17,31,2,872,147,30.06,,,2,4,3,test.csv,,
HDPK Dharmasena (SL),1993-2004,31,51,7,868,62*,19.72,,,0,3,4,test.csv,,
BD Julien (WI),1973-1977,24,34,6,866,121,30.92,,,2,3,0,test.csv,,
DG Cork (ENG),1995-2002,37,56,8,864,59,18.0,,,0,3,5,test.csv,,
HJ Tayfield (SA),1949-1960,37,60,9,862,75,16.9,,,0,2,5,test.csv,,
AR Caddick (ENG),1993-2003,62,95,12,861,49*,10.37,,,0,0,19,test.csv,,
GRJ Roope (ENG),1973-1978,21,32,4,860,77,30.71,,,0,7,3,test.csv,,
JDC Goddard (WI),1948-1957,27,39,11,859,83*,30.67,,,0,4,5,test.csv,,
VM Merchant (INDIA),1933-1951,10,18,0,859,154,47.72,,,3,3,2,test.csv,,
Basit Ali (PAK),1993-1995,19,33,1,858,103,26.81,,,1,5,5,test.csv,,
JE Taylor (WI),2003-2016,46,73,7,856,106,12.96,,,1,1,12,test.csv,,
D Gough (ENG),1994-2003,58,86,18,855,65,12.57,,,0,2,14,test.csv,,
TG McIntosh (NZ),2008-2011,17,33,2,854,136,27.54,,,2,4,5,test.csv,,
H Trumble (AUS),1890-1904,32,57,14,851,70,19.79,,,0,4,7,test.csv,,
CM Old (ENG),1972-1981,46,66,9,845,65,14.82,,,0,2,10,test.csv,,
RGD Willis (ENG),1971-1984,90,128,55,840,28*,11.5,,,0,0,12,test.csv,,
PA Strang (ZIM),1994-2001,24,41,10,839,106*,27.06,,,1,2,3,test.csv,,
SO Hetmyer (WI),2017-2019,16,30,0,838,93,27.93,,,0,5,0,test.csv,,
AM Bacher (SA),1996-1999,19,33,1,833,96,26.03,,,0,5,3,test.csv,,
RMH Binny (INDIA),1979-1987,27,41,5,830,83*,23.05,,,0,5,7,test.csv,,
TJ Franklin (NZ),1983-1991,21,37,1,828,101,23.0,,,1,4,2,test.csv,,
KJ Funston (SA),1952-1958,18,33,1,824,92,25.75,,,0,5,2,test.csv,,
SM Warnapura (SL),2007-2009,14,24,1,821,120,35.69,,,2,7,5,test.csv,,
AJ Pithey (SA),1957-1965,17,27,1,819,154,31.5,,,1,4,2,test.csv,,
WW Hall (WI),1958-1969,48,66,14,818,50*,15.73,,,0,2,7,test.csv,,
Sikandar Raza (ZIM),2013-2018,12,24,0,818,127,34.08,,,1,6,3,test.csv,,
Soumya Sarkar (BDESH),2015-2019,15,28,0,818,149,29.21,,,1,4,1,test.csv,,
Khurram Manzoor (PAK),2009-2014,16,30,1,817,146,28.17,,,1,7,3,test.csv,,
J Briggs (ENG),1884-1899,33,50,5,815,121,18.11,,,1,2,10,test.csv,,
AR MacGibbon (NZ),1951-1958,26,46,5,814,66,19.85,,,0,3,7,test.csv,,
TR Veivers (AUS),1963-1967,21,30,4,813,88,31.26,,,0,7,3,test.csv,,
BR Knight (ENG),1961-1969,29,38,7,812,127,26.19,,,2,0,2,test.csv,,
NWD Yardley (ENG),1938-1950,20,34,2,812,99,25.37,,,0,4,2,test.csv,,
AJ Watkins (ENG),1948-1952,15,24,4,810,137*,40.5,,,2,4,2,test.csv,,
TR Gripper (ZIM),1999-2004,20,38,1,809,112,21.86,,,1,5,5,test.csv,,
JEC Franklin (NZ),2001-2013,31,46,7,808,122*,20.71,,,1,2,6,test.csv,,
FA Iredale (AUS),1894-1899,14,23,1,807,140,36.68,,,2,4,2,test.csv,,
JR Ratnayeke (SL),1982-1989,22,38,6,807,93,25.21,,,0,5,5,test.csv,,
JW Hearne (ENG),1911-1926,24,36,5,806,114,26.0,,,1,2,3,test.csv,,
RAS Lakmal (SL),2010-2019,59,93,23,804,42,11.48,,,0,0,18,test.csv,,
Wazir Mohammad (PAK),1952-1959,20,33,4,801,189,27.62,,,2,3,8,test.csv,,
